"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2020年06月22日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈","A1301_15歳未満人口【人】","注釈","A130101_15歳未満人口（男）【人】","注釈","A130102_15歳未満人口（女）【人】","注釈","A1302_15～64歳人口【人】","注釈","A130201_15～64歳人口（男）【人】","注釈","A130202_15～64歳人口（女）【人】","注釈","A1303_65歳以上人口【人】","注釈","A130301_65歳以上人口（男）【人】","注釈","A130302_65歳以上人口（女）【人】","注釈"
"2015100000","2015年度","01100","北海道 札幌市","","1,952,356","","910,614","","1,041,742","","221,013","","112,743","","108,270","","1,235,516","","590,111","","645,405","","483,534","","201,313","","282,221",""
"2015100000","2015年度","01101","北海道 札幌市 中央区","","237,627","","107,756","","129,871","","23,997","","12,187","","11,810","","160,339","","74,227","","86,112","","50,536","","19,750","","30,786",""
"2015100000","2015年度","01102","北海道 札幌市 北区","","285,321","","134,534","","150,787","","32,916","","16,722","","16,194","","178,950","","86,767","","92,183","","68,960","","28,866","","40,094",""
"2015100000","2015年度","01103","北海道 札幌市 東区","","261,912","","124,649","","137,263","","30,716","","15,594","","15,122","","168,302","","82,491","","85,811","","61,448","","25,708","","35,740",""
"2015100000","2015年度","01104","北海道 札幌市 白石区","","209,584","","99,020","","110,564","","23,590","","12,099","","11,491","","136,879","","66,499","","70,380","","47,879","","19,954","","27,925",""
"2015100000","2015年度","01105","北海道 札幌市 豊平区","","218,652","","101,482","","117,170","","23,865","","12,214","","11,651","","142,751","","67,849","","74,902","","51,458","","21,014","","30,444",""
"2015100000","2015年度","01106","北海道 札幌市 南区","","141,190","","65,305","","75,885","","14,271","","7,317","","6,954","","81,598","","38,809","","42,789","","44,854","","18,943","","25,911",""
"2015100000","2015年度","01107","北海道 札幌市 西区","","213,578","","98,648","","114,930","","24,842","","12,630","","12,212","","133,411","","62,921","","70,490","","54,865","","22,823","","32,042",""
"2015100000","2015年度","01108","北海道 札幌市 厚別区","","127,767","","58,312","","69,455","","13,990","","7,178","","6,812","","77,888","","36,054","","41,834","","35,713","","15,008","","20,705",""
"2015100000","2015年度","01109","北海道 札幌市 手稲区","","140,999","","66,284","","74,715","","17,367","","8,889","","8,478","","84,637","","40,662","","43,975","","38,561","","16,474","","22,087",""
"2015100000","2015年度","01110","北海道 札幌市 清田区","","115,726","","54,624","","61,102","","15,459","","7,913","","7,546","","70,761","","33,832","","36,929","","29,260","","12,773","","16,487",""
