		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	sr	sr_male	sr_female	sr_ad	sr_el	sr_ch
							
FD2	FD2	1.02	1.01	1.05	1.05	0.94	1.01
		(0.94 - 1.11)	(0.90 - 1.12)	(0.89 - 1.24)	(0.95 - 1.17)	(0.79 - 1.12)	(0.63 - 1.63)
FD1	FD1	1.01	1.00	1.03	1.04	0.95	0.89
		(0.92 - 1.10)	(0.90 - 1.12)	(0.88 - 1.22)	(0.94 - 1.15)	(0.78 - 1.15)	(0.59 - 1.34)
o.base	base = o,	-	-	-	-	-	-
							
D1	D1	0.85	0.87	0.79	0.87	0.82	0.87
		(0.78 - 0.93)	(0.78 - 0.97)	(0.67 - 0.94)	(0.78 - 0.96)	(0.67 - 1.01)	(0.55 - 1.37)
D2	D2	0.93	0.93	0.93	0.96	0.81	1.08
		(0.86 - 1.01)	(0.84 - 1.02)	(0.80 - 1.08)	(0.87 - 1.06)	(0.68 - 0.97)	(0.69 - 1.67)
D3	D3	0.81	0.83	0.76	0.81	0.82	0.74
		(0.75 - 0.88)	(0.74 - 0.91)	(0.65 - 0.89)	(0.73 - 0.90)	(0.68 - 0.97)	(0.50 - 1.11)
D4	D4	0.82	0.81	0.80	0.80	0.84	0.87
		(0.75 - 0.89)	(0.73 - 0.90)	(0.69 - 0.93)	(0.73 - 0.89)	(0.71 - 1.00)	(0.54 - 1.41)
D5	D5	0.92	0.89	0.95	0.92	0.87	1.21
		(0.84 - 1.01)	(0.80 - 1.00)	(0.81 - 1.11)	(0.82 - 1.02)	(0.74 - 1.04)	(0.78 - 1.88)
D6	D6	1.06	0.99	1.22	1.06	1.04	1.14
		(0.98 - 1.15)	(0.90 - 1.10)	(1.05 - 1.41)	(0.96 - 1.17)	(0.88 - 1.24)	(0.72 - 1.80)
D7	D7	1.15	1.09	1.30	1.18	1.01	1.72
		(1.05 - 1.25)	(0.98 - 1.21)	(1.12 - 1.52)	(1.06 - 1.31)	(0.85 - 1.20)	(1.16 - 2.55)
D8	D8	1.11	1.04	1.29	1.15	1.01	1.45
		(1.02 - 1.21)	(0.94 - 1.15)	(1.11 - 1.50)	(1.04 - 1.27)	(0.85 - 1.21)	(1.06 - 1.98)
D9	D9	1.38	1.18	1.87	1.46	1.23	1.46
		(1.27 - 1.49)	(1.07 - 1.31)	(1.61 - 2.16)	(1.33 - 1.61)	(1.04 - 1.46)	(0.94 - 2.27)
							
City-by-year Fixed Effect		YES	YES	YES	YES	YES	YES
City-by-mon Fixed Effect		YES	YES	YES	YES	YES	YES
Obs.		61209	54583	35712	53164	34703	1896
Robust cieform in parentheses							
